zdanie,spójnik,typ,sent_id
"Tego rodzaju sformułowanie zawarte zostało w liście, który Szaron wysłał do Arafata w odpowiedzi na gratulacje z okazji objęcia władzy.","[',']",['35'],NKJP_1M_DP2001/morph_31-p/morph_31.62-s
"Spotkanie to odbędzie się przed drugą rozprawą sądową w tej sprawie, którą zaplanowano na połowę kwietnia.","[',']",['44'],NKJP_1M_DP2001/morph_25-p/morph_25.45-s
"- Do takich mieszkań można się od razu wprowadzać - podkreśla Marian Bryksy, prezes grupy inwestycyjnej Bryksy, która jest wykonawcą inwestycji w Wadowicach.","[',', ',']","['73', '50']",NKJP_1M_DP2001/morph_22-p/morph_22.77-s
"Wciąż nie wiadomo jednak, jakie propozycje pracy ma dla niego minister ochrony środowiska.","[',']",['17'],NKJP_1M_DP2001/morph_12-p/morph_12.31-s
"- Pani Ewa Symonides przedstawiła ministrowi swoje stanowisko dotyczące sytuacji w Tatrzańskim Parku Narodowym - powiedział nam wczoraj Andrzej Walkowiak, rzecznik prasowy ministra ochrony środowiska.","[',']",['140'],NKJP_1M_DP2001/morph_12-p/morph_12.58-s
"Ustalano, które grupy zawodowe przeznaczone zostaną do zwolnienia.","[',']",['8'],NKJP_1M_DP2001/morph_29-p/morph_29.41-s
"Wystarczy nacisnąć jeden przycisk, by zobaczyć niebo nad głową.","[',']",['20'],NKJP_1M_DP2001/morph_23-p/morph_23.49-s
"Miejmy nadzieję, że ich nowa redakcja zawierać będzie wnioski autorów omawianej publikacji.","[',']",['13'],NKJP_1M_1202900073/morph_7-p/morph_7.62-s
"Książka ukazała się w odpowiednim momencie, w okresie dyskusji nad nowymi programami.","[',']",['24'],NKJP_1M_1202900073/morph_7-p/morph_7.48-s
"Z punktu widzenia potrzeb średniego szkolnictwa muzycznego, znaczenie książki jest wyjątkowo duże.","[',']",['91'],NKJP_1M_1202900073/morph_7-p/morph_7.14-s
"Tam ustawiono ruchome sceny, na których przez cztery godziny swe umiejętności prezentowali finaliści konkursu na najlepszego polskiego DJ-a techno.","[',']",['21'],NKJP_1M_1305000001077/morph_1-p/morph_1.51-s
"Wieczorem kolorowy tłum wraz z kawalkadą kilkunastu ciężarówek, na których umieszczono sprzęt nagłaśniający, przeszedł ulicami miasta w ""Paradzie Wolności"".","[',', ',']","['33', '78']",NKJP_1M_1305000001077/morph_1-p/morph_1.75-s
"Robert czekał już na mnie przy tym samym stoliku, przy którym spotkaliśmy się wczoraj rano.","[',']",['35'],NKJP_1M_3102000019/morph_2-p/morph_2.49-s
"Ukończyły wyścig razem, trzymając się za ręce.","[',']",['15'],NKJP_1M_1202000011/morph_14-p/morph_14.42-s
"Każdy pojedynczy proces zachodzący wewnątrz systemu, w przypadku modelu integralnego, wymaga odrębnego opisu matematycznego.","[',', ',']","['33', '54']",NKJP_1M_3202000000095/morph_14-p/morph_14.80-s
"Na rysunku IV.5 pokazano schemat modelu, który może być przykładem modelu integralnego podsystemu górnej części zlewni.","[',']",['26'],NKJP_1M_3202000000095/morph_14-p/morph_14.20-s
"Gdy stanie się jasne, że dziewczynka jest w ciąży, rodzice robią jej przesłuchanie.","[',', ',']","['17', '103']",NKJP_1M_3302000000031/morph_7-p/morph_7.16-s
"Żyleta to seksówa, Pamela Anderson, z ustami nabrzmiałymi jak serdelki.","[',', ',']","['15', '24']",NKJP_1M_3302000000031/morph_10-p/morph_10.28-s
"W czasie pozorowanych działań bojowych jednostki z pozycji obronnych dokonają przegrupowania, aby po sforsowaniu szerokiej przeszkody wodnej wyjść na nowe rubieże aktywnych działań zaczepnych.","[',']",['71'],NKJP_1M_1305000000148/morph_1-p/morph_1.26-s
"– Adam, powinieneś zostać.","[',']",['8'],NKJP_1M_2004000041/morph_3-p/morph_3.77-s
"– Lekarze mówią, że powinien poleżeć parę dni.","[',']",['14'],NKJP_1M_2004000041/morph_3-p/morph_3.56-s
"Adam, przeżyjemy to.","[',']",['6'],NKJP_1M_2004000041/morph_5-p/morph_5.70-s
"Wtedy na Szczęśliwicach, kiedy wyszedłem z koncertu.","[',']",['15'],NKJP_1M_2004000041/morph_5-p/morph_5.22-s
"Mijali właśnie pierwszą z brzegu zagrodę, kiedy przez otwarte okno dobiegł z wnętrza izby podniesiony głos kobiety.","[',']",['27'],NKJP_1M_2004000000200/morph_5-p/morph_5.29-s
"Dzięki Opatrzności Boskiej zyskałem więc od razu trzech współpracowników, którym mogłem zawierzyć najbardziej poważne sprawy.","[',', 'więc']","['37', '19']",NKJP_1M_3104000000106/morph_1-p/morph_1.73-s
"Córy moje, nim siądą, przejrzą się do lustra.","[',', ',']","['12', '21']",NKJP_1M_2002000031/morph_3-p/morph_3.31-s
"Skandal ze szpiegostwem przemysłowym wybuchł, gdy odkryto, że ma miejsce przeciekanie tajemnic Ericssona do obcych służb wywiadowczych.","[',', ',']","['27', '38']",NKJP_1M_1305000000083/morph_1-p/morph_1.20-s
"Miesiąc temu posadę stracił komendant powiatowy z Braniewa, który w komendzie był w stanie nietrzeźwości.","[',']",['32'],NKJP_1M_1305000000987/morph_1-p/morph_1.32-s
"Kiedy książę spostrzegł, że jest pilnowany przez policję, ogarnęła go wściekłość.","[',', ',']","['19', '85']",NKJP_1M_3102000000043/morph_1-p/morph_1.14-s
"Dla człowieka, który wymknął się niegdyś z carskiego Petersburga, wymknięcie się z papieskiego Rzymu było drobnostką.","[',', ',']","['13', '66']",NKJP_1M_3102000000043/morph_1-p/morph_1.33-s
"Między innymi od myśliwych wiedzieli, że kilku mieszkańców wsi Łoźnik od dawna kłusuje w pobliskich lasach.","[',']",['23'],NKJP_1M_1305000001433/morph_1-p/morph_1.31-s
"Był to niewielki staruszek, nagi do pasa, w zielonkawych spodniach.","[',', ',']","['17', '29']",NKJP_1M_2001000029/morph_8-p/morph_8.62-s
"Wpuszczał do własnej głowy bezład, podobny temu, jaki zastał w pokoju.","[',', ',']","['34', '22']",NKJP_1M_2001000029/morph_4-p/morph_4.28-s
"Siedział po turecku na skraju futra, oparty o tapczan obok plecaka Artura.","[',']",['25'],NKJP_1M_2001000029/morph_4-p/morph_4.14-s
"Mimo gęstniejącego mroku, starowina nosił przeciwsłoneczne okulary.","[',']",['14'],NKJP_1M_2001000029/morph_5-p/morph_5.75-s
"– Powiedz, kto jest królową loteryjki?","[',']",['10'],NKJP_1M_2004000058/morph_7-p/morph_7.33-s
"Na dodatek zapomniałem, po co tutaj jestem.","[',']",['16'],NKJP_1M_2004000058/morph_6-p/morph_6.41-s
"- W tym problem, że Kajzer by go zabił, gdyby się dowiedział.","[',', ',']","['18', '40']",NKJP_1M_2002000152/morph_5-p/morph_5.24-s
"Grzesiek pożyczył ten pomysł od meksykańskiej policji, która wysyła policjantki na demonstracje uliczne, bo podobno kobiety nie wzbudzają agresji.","[',', ',']","['219', '33']",NKJP_1M_1202900001002/morph_9-p/morph_9.79-s
"Kariera zawisła na włosku, bo gubernator obraził się za wypominanie córce czerwonej mordy.","[',']",['26'],NKJP_1M_1202900001002/morph_3-p/morph_3.59-s
"Gdyby nie było przemocy, porozumienie zostałoby już dawno zawarte.","[',']",['70'],NKJP_1M_1202900001002/morph_25-p/morph_25.19-s
"Rozpędzonej karuzeli stanowisk nie zatrzymała minister Piwnik, choć przez pierwsze pół roku urzędowania wstrzymywała się ona z ruchami kadrowymi.","[',']",['30'],NKJP_1M_1202900001002/morph_14-p/morph_14.21-s
"Dziesięć lat temu, zachęcona prognozami demograficznymi, Kasia chciała założyć firmę opiekującą się starszymi osobami.","[',', ',']","['18', '32']",NKJP_1M_1202900001002/morph_29-p/morph_29.28-s
"Dwójka rosyjskich dyplomatów opuściła Sztokholm, zanim władze Szwecji uznały ich za persona non grata.","[',']",['29'],NKJP_1M_1305000000644/morph_1-p/morph_1.16-s
"Chodziło teraz o to, aby dopilnować uczciwego załatwienia interesu.","[',']",['19'],NKJP_1M_2002000104/morph_2-p/morph_2.21-s
"Konwojent, delegowany przez fabrykę, został już obrobiony.","[',', ',']","['7', '24']",NKJP_1M_2002000104/morph_2-p/morph_2.10-s
"No, to wszystko.","[',']",['5'],NKJP_1M_2002000104/morph_2-p/morph_2.56-s
"Sąsiedzi z zachodu, Keralczycy, uchodzą za najbardziej wykształcony naród indyjski.","[',', ',']","['14', '19']",NKJP_1M_1202900001004/morph_25-p/morph_25.13-s
"Czuł, że ojciec byłby z niego dumny.","[',']",['8'],NKJP_1M_1202900001004/morph_23-p/morph_23.41-s
"Przekonał się, że to gra interesów.","[',']",['10'],NKJP_1M_1202900001004/morph_23-p/morph_23.55-s
Standardowo wypadły natomiast badania udawania orgazmu przez kobiety.,['natomiast'],['10'],NKJP_1M_1202900001004/morph_20-p/morph_20.43-s
"Umowy wejdą w życie, jeśli F-16 wygra przetarg, który powinien zostać rozstrzygnięty do końca tego roku.","[',', ',']","['19', '38']",NKJP_1M_1305000000019/morph_1-p/morph_1.36-s
"- Mamo, dziś zebranie rodzicielskie w szkole.","[',']",['8'],NKJP_1M_1202900134/morph_3-p/morph_3.34-s
"Uważam, że już niedługo będziemy mogli oglądać filmy.","[',']",['8'],NKJP_1M_1202900134/morph_2-p/morph_2.81-s
"Przecież, jak podają gazety, sieć kin objazdowych stale się powiększa.","[',', ',']","['7', '26']",NKJP_1M_1202900134/morph_2-p/morph_2.41-s
"Ekipie poszukiwawczej, badającej wrak transatlantyka ""Titanic"", który zatonął w 1912 r., udało się wydobyć na powierzchnię oceanu duży fragment kadłuba statku.","[',', ',', ',']","['38', '11', '101']",NKJP_1M_1305000001192/morph_1-p/morph_1.28-s
"Msza kanonizacyjna odbyła się w bazylice Matki Bożej z Guadelupe, wzniesionej przy placu Zocalo, jednym z największych na świecie.","[',', ',']","['37', '54']",NKJP_1M_1305000000131/morph_1-p/morph_1.58-s
"Czynszowi dłużnicy mogą na razie odetchnąć z ulgą, gdyż od wczoraj do końca marca nie wolno eksmitować ich na ulicę.","[',']",['44'],NKJP_1M_1305000000836/morph_1-p/morph_1.22-s
"Ponieważ książka stanowi drugą część cyklu, aby uniknąć nużących Czytelników powtórzeń, pominąłem w niej wyjaśnianie zagadnień omówionych w pierwszym tomie.","[',', ',']","['28', '200']",NKJP_1M_3102000000212/morph_7-p/morph_7.24-s
"Nie było to jednak wiele warte, gdyż nadal nie wiedział, co począć z całą sprawą.","[',', ',']","['113', '130']",NKJP_1M_0302000000006/morph_21-p/morph_21.65-s
"Teofil trzymał je w ręce, aby włożyć dopiero w ostatniej chwili.","[',']",['23'],NKJP_1M_0302000000006/morph_26-p/morph_26.87-s
"Kupione w południe, nie wyjrzały jeszcze ze swej bibułki.","[',']",['13'],NKJP_1M_0302000000006/morph_26-p/morph_26.74-s
"Grodzicki nie chciał się wyrzec nadziei, że odzyska syna.","[',']",['26'],NKJP_1M_0302000000006/morph_20-p/morph_20.61-s
"Z punktu wiedzenia PZU była to bardzo dobra cena, gdyż w listopadzie akcje BIG-u notowane były na poziomie nieco tylko przekraczającym 8 zł.","[',']",['88'],NKJP_1M_1302910000006/morph_36-p/morph_36.35-s
"Grozi, że odbierze nam część pieniędzy.","[',']",['8'],NKJP_1M_1302910000006/morph_107-p/morph_107.13-s
"Komisja Europejska chce nam zabrać pieniądze, bo Sejm do tej pory nie przyjął trzech ustaw.","[',']",['53'],NKJP_1M_1302910000006/morph_107-p/morph_107.42-s
"Z informacji ŻYCIA wynika, że rozmowy w tej sprawie z udziałem prominentnych polityków SLD rozpoczęły się już kilka tygodni temu.","[',']",['19'],NKJP_1M_1302910000006/morph_54-p/morph_54.71-s
"- Nie zdarza się, aby przedmiotu wykładanego w gimnazjum nie było w jego oddziale zamiejscowym.","[',']",['14'],NKJP_1M_1302910000006/morph_90-p/morph_90.62-s
"- Oddział Szczawne gimnazjum rzepedzkiego (woj. podkarpackie) posiada pracownię komputerową, której nie ma w Rzepedzi - wyjaśnia Krystyna Chowaniec z oddziału Podkarpackiego Kuratorium w Krośnie.","[',']",['130'],NKJP_1M_1302910000006/morph_90-p/morph_90.36-s
"Niemiecki negocjator po powrocie z rokowań podkreślał także, że oprócz sprawy podziału pieniędzy rozwiązać trzeba kwestię ochrony prawnej dla niemieckich firm, działających na amerykańskim rynku.","[',', ',']","['33', '111']",NKJP_1M_1302910000006/morph_35-p/morph_35.28-s
"Warszawski sąd rejonowy kazał wczoraj stołecznej prokuraturze wznowić śledztwo, które miało wyjaśnić, czy Milczanowski popełnił przestępstwo, ogłaszając, że Oleksy to ""Olin"".","[',', ',', ',', ',']","['41', '60', '79', '130']",NKJP_1M_1302910000006/morph_69-p/morph_69.28-s
"ŻYCIE przedstawiło w sądzie świadków, którzy widzieli Kwaśniewskiego w Cetniewie.","[',']",['23'],NKJP_1M_1302910000006/morph_17-p/morph_17.52-s
"Zdarza się, że ich sprawcy z powodu przedawnienia w ogóle nie zostają osądzeni.","[',']",['10'],NKJP_1M_1302910000006/morph_59-p/morph_59.66-s
"Zdaniem producenta, samochód ten dokonał skoku pokoleniowego w klasie średnich pojazdów kompaktowych.","[',']",['10'],NKJP_1M_1302910000006/morph_25-p/morph_25.42-s
"- Chodzi o pokazanie, że jest nacisk na polepszenie koniunktury gospodarczej - wyjaśnia sekretarz premiera.","[',']",['20'],NKJP_1M_1302910000006/morph_15-p/morph_15.65-s
"Gdy powstawał Pakt dla Wsi, jeździł na spotkania z rolnikami.","[',']",['81'],NKJP_1M_1302910000006/morph_15-p/morph_15.28-s
"Bogdan Karp, rzecznik prasowy kieleckiej prokuratury, wczoraj po południu nie potwierdzał nawet, czy to prawda, że znaleziono rakiety.","[',', ',', ',', ',']","['11', '32', '58', '74']",NKJP_1M_1302910000006/morph_85-p/morph_85.23-s
Bandyci zmienili więc prawdopodobnie rejon działania.,['więc'],['10'],NKJP_1M_1302910000006/morph_120-p/morph_120.26-s
"Grażyna Sosnowska, konsul generalny Polski w Malmoe, zaznaczyła, że akcja ratownicza była bardzo trudna, bo panowały złe warunki pogodowe.","[',', ',', ',', ',']","['12', '32', '42', '109']",NKJP_1M_1302910000006/morph_12-p/morph_12.24-s
"Dzięki poradnikowi dowiadujemy się, że roczną deklarację oznaczają cyfry 01.","[',']",['17'],NKJP_1M_1302910000006/morph_108-p/morph_108.29-s
"Z radością witali również państwa Paleniów sąsiedzi, którzy na tę okazję upiekli specjalny tort.","[',']",['30'],NKJP_1M_1302910000006/morph_65-p/morph_65.48-s
Brytyjczycy są więc dominującym udziałowcem w największym polskim towarzystwie emerytalnym.,['więc'],['10'],NKJP_1M_1302910000006/morph_29-p/morph_29.42-s
"Wstępna analiza Inspektoratu wskazuje, że sąd w Jeleniej Górze nie jest przystosowany do procesów, w których oskarżonymi są członkowie zorganizowanych grup przestępczych.","[',', ',']","['20', '59']",NKJP_1M_1302910000006/morph_112-p/morph_112.25-s
"Oznacza to, że zgadzają się one na taką praktykę.","[',']",['12'],NKJP_1M_1302910000006/morph_92-p/morph_92.38-s
"- Czy zdarzały się przypadki, że przy przejściu z jednego Kościoła do drugiego wymagano ponownego chrztu?","[',']",['20'],NKJP_1M_1302910000006/morph_92-p/morph_92.76-s
"Istnieje tam aż sześć grup inicjatywnych, które chcą zorganizować wybory.","[',']",['27'],NKJP_1M_1302910000006/morph_80-p/morph_80.27-s
"Bieg sprawy zatrzymał jednak konflikt z gminą Centrum, która ustaliła, że frekwencja musi wynieść co najmniej 10 proc.","[',', ',']","['33', '46']",NKJP_1M_1302910000006/morph_80-p/morph_80.48-s
"Razem z nimi pojawiła się również amerykańska pielęgniarka, która przez jakiś czas będzie pomagać w opiece nad dziećmi.","[',']",['30'],NKJP_1M_1302910000006/morph_18-p/morph_18.53-s
"Wracając do Putina, porównał go do Jelcyna.","[',']",['14'],NKJP_1M_1302910000006/morph_102-p/morph_102.9-s
"Przypomnijmy, że przed laty Jelcyn nie wysiadł na spotkanie z irlandzkimi władzami.","[',']",['8'],NKJP_1M_1302910000006/morph_102-p/morph_102.38-s
"- Czy pan chce zakneblować usta ludziom, którzy na ulicach protestują przeciwko rządzącym?","[',']",['103'],NKJP_1M_1302910000006/morph_20-p/morph_20.15-s
"Etiopczycy kontynuują atak, choć pod koniec ubiegłego tygodnia władze Erytrei poinformowały o wycofaniu swych oddziałów ze wszystkich spornych terenów nadgranicznych.","[',']",['16'],NKJP_1M_1305000001305/morph_1-p/morph_1.50-s
"Dziękuję, panie pośle.","[',']",['7'],NKJP_1M_7123900002/morph_3-p/morph_3.24-s
"W związku z tym, na podstawie art. 56zf regulaminu Sejmu, podjąłem decyzję o uzupełnieniu porządku dziennego o punkt obejmujący rozpatrzenie tego sprawozdania.","[',', ',']","['17', '83']",NKJP_1M_7123900002/morph_25-p/morph_25.59-s
"Już nie będę, panie pośle, odpowiadał na tego rodzaju zaczepki.","[',', ',']","['11', '20']",NKJP_1M_7123900002/morph_15-p/morph_15.50-s
"Pozwoli pan, że skończę.","[',']",['12'],NKJP_1M_7123900002/morph_15-p/morph_15.56-s
"- Przepraszam, panie pośle.","[',']",['9'],NKJP_1M_7123900002/morph_15-p/morph_15.6-s
"Wchodzi w grę tylko tryb sprostowania, jeśli został pan źle zrozumiany.","[',']",['25'],NKJP_1M_7123900002/morph_22-p/morph_22.81-s
"Oczywiście, nie zapominając o zmierzeniu tempa pęłznięcia jęzora.","[',']",['5'],NKJP_1M_3202000000088/morph_13-p/morph_13.68-s
"Nawet w lecie na szczytach można dostrzec śnieg, choć w dolinach upały pozwalają na zażywanie kąpieli.","[',']",['34'],NKJP_1M_3202000000088/morph_4-p/morph_4.34-s
"Warto pamiętać, że krupa lodowa jest młodszą siostrą gradu.","[',']",['13'],NKJP_1M_3202000000088/morph_2-p/morph_2.66-s
"Akurat wtedy, gdy kadrowicze rozpakowywali w Warszawie swój sprzęt po powrocie ze zgrupowania w Barsinghausen, w kościele w Kazimierzu zebrał się tłum wiernych, który modlił się o powodzenie naszej drużyny w zbliżających się mistrzostwach świata.","[',', ',', ',']","['159', '11', '281']",NKJP_1M_1305000000326/morph_1-p/morph_1.57-s
"Wszystkich podejrzewa się o rozprowadzanie w powiecie suskim narkotyków, za co grozi do 10 lat więzienia.","[',']",['35'],NKJP_1M_DP2002/morph_36-p/morph_36.50-s
"Przed następnym sezonem zorientuję się, czy w mojej obecnej szkole będę mógł sobie wziąć urlop dziekański.","[',']",['22'],NKJP_1M_DP2002/morph_10-p/morph_10.51-s
"Nie znaczy to, że rezygnuję ze sportu.","[',']",['14'],NKJP_1M_DP2002/morph_10-p/morph_10.33-s
"Kasy chorych szacują, że leczenie jednej osoby poszkodowanej w wypadku kosztowało przeciętnie 5740 zł.","[',']",['16'],NKJP_1M_DP2002/morph_1-p/morph_1.73-s
"Sugerują, że podobna sytuacja panuje we wszystkich spółkach z udziałem kapitału zagranicznego.","[',']",['8'],NKJP_1M_DP2002/morph_18-p/morph_18.68-s
"Profesor T. Rechberger w klinice lubelskiej przewodniczy zespołowi, który wdraża nowatorskie metody laparoskopowe leczenia wysiłkowego nietrzymania moczu.","[',']",['36'],NKJP_1M_1202900021/morph_7-p/morph_7.68-s
"Dzięki jego zaangażowaniu w naszym mieście nadal funkcjonuje sekcja piłki nożnej na odpowiednim poziomie sportowym, promująca Jarosław na terenie Polski południowo - wschodniej.","[',']",['56'],NKJP_1M_1202900021/morph_3-p/morph_3.76-s
"Według CNN, policja przychyla się do wersji ładunku wybuchowego pozostawionego w ręcznej torbie w bufecie, gdzie było tłoczno.","[',', ',']","['9', '63']",NKJP_1M_1305000000132/morph_1-p/morph_1.56-s
"Wcześniejsze doniesienia mówiły, że był to zamach samobójczy.","[',']",['16'],NKJP_1M_1305000000132/morph_1-p/morph_1.10-s
"To wystarczyło, żeby przestraszyć pozostałych kierowców trójkołowych pojazdów, którzy też pracowali nielegalnie.","[',', ',']","['12', '39']",NKJP_1M_1305000001826/morph_1-p/morph_1.35-s
"Zdaniem dziennikarza ""Wiadomości"" Piotra Góreckiego, członka ekipy, napad miał charakter rabunkowy.","[',', ',']","['37', '46']",NKJP_1M_1305000000761/morph_1-p/morph_1.46-s
"""W samo południe wracaliśmy ze zdjęć, gdy podeszło do nas dwóch bandytów uzbrojonych w kałasznikowy.""","[',']",['30'],NKJP_1M_1305000000761/morph_1-p/morph_1.72-s
"Wpadnę tam za jakiś czas, by zobaczyć, jak się sprawujesz.","[',', ',']","['24', '35']",NKJP_1M_2002000133/morph_4-p/morph_4.78-s
"- Zrobisz, jak zechcesz - dodał chłodno.","[',']",['12'],NKJP_1M_2002000133/morph_1-p/morph_1.38-s
"Pijąc czerwone wino, czarkę kieliszka trzyma się w dłoni, aby niczego nie stracić z aromatu wydzielającego się przy podgrzewaniu.","[',', ',']","['43', '211']",NKJP_1M_3302000000023/morph_11-p/morph_11.40-s
"W tym momencie nadarza się okazja, żeby wyrazić pani domu uznanie za przyjęcie.","[',']",['25'],NKJP_1M_3302000000023/morph_1-p/morph_1.15-s
"Sądząc po sztućcach, może nią być danie rybne.","[',']",['14'],NKJP_1M_3302000000023/morph_2-p/morph_2.30-s
"Tu, na ten nekrolog.","[',']",['7'],NKJP_1M_2002000141/morph_3-p/morph_3.26-s
"Przenosi obojętne spojrzenie na stronę z nekrologami, którą Gabriela przygważdża do stołu kościstym palcem.","[',']",['31'],NKJP_1M_2002000141/morph_3-p/morph_3.57-s
"Aż słychać ich dychanie, jak tak stoją na bocianim gnieździe.","[',']",['23'],NKJP_1M_2002000155/morph_4-p/morph_4.12-s
"Okazało się, że był nią pies.","[',']",['10'],NKJP_1M_1305000001783/morph_1-p/morph_1.42-s
"Okazało się jednak, że lek może służyć do produkcji środków odurzających.","[',']",['13'],NKJP_1M_1305000000928/morph_1-p/morph_1.22-s
"Wielu rodaków było po raz pierwszy w sali, która gościła największych artystów świata.","[',']",['35'],NKJP_1M_1305000001237/morph_1-p/morph_1.55-s
"Nikt wtedy nie wiedział, że te słabo pieniące się kostki są z ludzi.","[',']",['18'],NKJP_1M_2004000024/morph_5-p/morph_5.93-s
"Mój ojciec, niewolnik Trzeciej Rzeszy, dostawał do mycia w majątku Bismarcka przydział mydła.","[',', ',']","['11', '30']",NKJP_1M_2004000024/morph_5-p/morph_5.78-s
"Można rozwiązać parlament, podając rząd do dymisji, wierząc, że nie uda się stworzyć w tym Sejmie nowej większości.","[',', ',', ',']","['41', '15', '33']",NKJP_1M_1302910000004/morph_32-p/morph_32.22-s
"PZN to jest zrzeszenie wszystkich podmiotów, które działają na terenie kraju.","[',']",['25'],NKJP_1M_1302910000004/morph_69-p/morph_69.34-s
"- Chce Pan przez to powiedzieć, że Tajner zrobił podział mandatów pod siebie?","[',']",['26'],NKJP_1M_1302910000004/morph_69-p/morph_69.15-s
"Trzeba niestety przyznać, że wielu ludzi nabiera się na takie chwyty.","[',']",['16'],NKJP_1M_1302910000004/morph_66-p/morph_66.35-s
"PARYŻ (PAP) — Biuro Generalne Konfederacji Pracy opublikowało komunikat, w którym zajmuje stanowisko wobec szeregu aktualnych zagadnień.","[',']",['43'],NKJP_1M_1302910000004/morph_24-p/morph_24.21-s
"Pebereau sugeruje również, aby zyski uzyskiwane z prywatyzacji były przeznaczane na spłacanie długu wewnętrznego.","[',']",['15'],NKJP_1M_1302910000004/morph_84-p/morph_84.16-s
"Jeśli polityka rządu prowadziłaby do deficytu, wówczas parlamentarzyści zobowiązaliby rząd do powrotu do stanu równowagi finansowej w następnym roku budżetowym.","[',']",['162'],NKJP_1M_1302910000004/morph_84-p/morph_84.50-s
"Odbudujmy porozumienie ponad różnicami, tak mało istotnymi wobec rzeczywistych problemów!","[',']",['18'],NKJP_1M_1302910000004/morph_29-p/morph_29.36-s
"Jeśli jednak różnice te nie pozwalają wam zbudować takiego formalnego porozumienia, dajcie zielone światło do współdziałania ludziom tworzącym wasze ugrupowania.","[',']",['232'],NKJP_1M_1302910000004/morph_29-p/morph_29.58-s
"Aby dowiedzieć się, w czym nasz kraj przoduje w wymianie handlowej ze światem, sięgnąłem po ""Rocznik statystyczny handlu zagranicznego za rok 2005"".","[',', ',']","['314', '12']",NKJP_1M_1302910000004/morph_57-p/morph_57.68-s
"Ekonomiści dodają, że motorem owego progresu jest, mimo wysokiego kursu złotego, eksport.","[',', ',', ',']","['12', '35', '55']",NKJP_1M_1302910000004/morph_57-p/morph_57.40-s
"Podwyżki zostaną wypłacone dzięki ustawie, którą uchwalił Sejm poprzedniej kadencji.","[',']",['23'],NKJP_1M_1302910000004/morph_6-p/morph_6.23-s
"- Czego tak naprawdę, Pańskim zdaniem, chce Jarosław Kaczyński?","[',', ',']","['17', '26']",NKJP_1M_1302910000004/morph_75-p/morph_75.12-s
"Jak dowiaduje się bydgoski korespondent PAP, działający w Bydgoszczy Międzyzakładowy Komitet Strajkowy ogłosił przerwanie strajku w tym mieście.","[',']",['38'],NKJP_1M_1302910000004/morph_27-p/morph_27.48-s
"Spróbuj też wynająć maga, który rzuci na taran czar impotencji.","[',']",['20'],NKJP_1M_6203010001855/morph_3-p/morph_3.60-s
"Piosenka polskich pielgrzymów, która tak bardzo spodobała się papieżowi podczas niedzielnej modlitwy Anioł Pański w Castel Gandolfo, powróciła podczas audiencji generalnej wczoraj na Placu Świętego Piotra.","[',', ',']","['18', '484']",NKJP_1M_1305000001830/morph_1-p/morph_1.29-s
"Jeżeli nie masz, to byś na pewno ukrywał, gdybyś miał.","[',', ',', 'to']","['31', '11', '47']",NKJP_1M_2002000115/morph_3-p/morph_3.60-s
"Ta masa wodna, nieraz podnosząca poziom Wiku o jeden metr ponad równię Puckiej Zatoki, spotyka się przy dziobie gołębia z silnym prądem zachodnim.","[',', ',']","['15', '156']",NKJP_1M_0302000000015/morph_4-p/morph_4.62-s
"Przychodzimy, aby szczątek ostatni od zagłady uchronić.","[',']",['8'],NKJP_1M_0302000000015/morph_1-p/morph_1.55-s
"W toku badań stwierdzono, że można również tak zmienić układ genetyczny dżdżownicy jedwabnika, aby bardziej uodpornić ten gatunek owadów na gorący klimat, co sprzyjałoby rozszerzeniu hodowli w różnych rejonach świata.","[',', ',', ',']","['19', '60', '101']",NKJP_1M_1305000000990/morph_1-p/morph_1.55-s
"Nie wiadomo nawet, kiedy do niego w Sejmie dojdzie.","[',']",['13'],NKJP_1M_1305000001287/morph_1-p/morph_1.20-s
"Kwiaty otrzymali nauczyciele, którzy przed laty kształcili kolejarskich specjalistów.","[',']",['16'],NKJP_1M_1305000000637/morph_1-p/morph_1.29-s
"Gdyby tak było, natychmiast bym zaprotestował.","[',']",['40'],NKJP_1M_6203010000836/morph_7-p/morph_7.52-s
"Do Teresy Czekaj, prezesa Sądu Okręgowego w Lublinie, dotarło już oświadczenie mężczyzny, który próbował dostać odszkodowanie.","[',', ',', ',']","['67', '14', '47']",NKJP_1M_1305000000523/morph_1-p/morph_1.40-s
"Siedząc na spakowanych pulkach spojrzeli na południe, skąd przyszli.","[',']",['30'],NKJP_1M_3102000000044/morph_3-p/morph_3.56-s
"Wyglądało na to, że coś się wreszcie zmieni.","[',']",['14'],NKJP_1M_3102000000044/morph_3-p/morph_3.36-s
"Eksperci twierdzą, że zależeć to będzie od ilości wody spuszczanej z tamy we Włocławku.","[',']",['12'],NKJP_1M_1305000001611/morph_1-p/morph_1.70-s
"Mieszkańcy miasta mówią, że od 20 lat rzeka nie miała tak wysokiego poziomu.","[',']",['16'],NKJP_1M_1305000001611/morph_1-p/morph_1.30-s
"Nie chciano podać kwoty, jaką totolotek poratował PKP - pisze dziennikarz gazety K. Grzegrzółka.","[',']",['65'],NKJP_1M_1305000000943/morph_1-p/morph_1.50-s
"Na szczęście żaden sen nie przepowiada całego życia, więc potem można czynić próby naprawienia tego, co się zniszczyło.","[',', 'więc', ',']","['51', '53', '90']",NKJP_1M_3302000016/morph_12-p/morph_12.21-s
